Car_ID,Challan
25,3
10,3
28,3
33,3
76,3
50,3
64,3
75,3
79,3
92,3
120,3
104,3
89,3
115,3
133,3
74,3
77,3
154,3
162,3
153,3
155,3
130,3
150,3
170,3
175,3
201,3
202,3
188,3
187,3
209,3
158,3
186,3
208,3
198,3
218,3
245,3
237,3
253,3
267,3
196,3
248,3
219,3
261,3
280,3
308,3
265,3
276,3
268,3
246,3
275,3
285,3
343,3
324,3
212,3
333,3
326,3
321,3
373,3
266,3
386,3
306,3
344,3
346,3
366,3
397,3
407,3
364,3
365,3
342,3
368,3
436,3
348,3
412,3
362,3
388,3
463,3
409,3
451,3
468,3
495,3
435,3
480,3
447,3
496,3
462,3
478,3
486,3
476,3
431,3
455,3
502,3
512,3
511,3
482,3
540,3
514,3
542,3
491,3
557,3
561,3
544,3
416,3
509,3
581,3
589,3
601,3
574,3
595,3
603,3
608,3
598,3
602,3
536,3
585,3
621,3
545,3
627,3
567,3
646,3
655,3
651,3
658,3
652,3
662,3
686,3
672,3
691,3
696,3
702,3
707,3
642,3
664,3
720,3
741,3
654,3
673,3
748,3
728,3
671,3
688,3
